,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
836,5bdrm Duplex in Ikota Lekki County for sale,"Lekki, Ikota",Ikota,350000000.0,500,5,5,Semi-furnished,1,Lagos,700000.0
837,"2bdrm Duplex in Goshen -Trust Estate, Karsana for sale","Gwagwa, Karsana",Karsana,48000000.0,250,2,2,Unfurnished,1,Abuja,192000.0
838,4bdrm Duplex in Maryland Lagos for sale,"Lagos State, Maryland",Maryland,450000000.0,450,4,5,Unfurnished,1,Lagos,1000000.0
839,"3bdrm Bungalow in Fully Detached, Kuje for sale","Abuja (FCT), Kuje",Kuje,32000000.0,600,3,3,Semi-furnished,1,Abuja,53333.0
840,1bdrm Apartment in Lekki Conservation for sale,"Lagos State, Lekki",Lekki,60000000.0,200,1,3,Unfurnished,1,Lagos,300000.0
841,3bdrm Apartment in Omole Phase 1 for sale,"Ikeja, Omole Phase 1",Omole Phase 1,200000000.0,200,3,4,Unfurnished,1,Lagos,1000000.0
842,4bdrm Bungalow in Ibadan for sale,"Oyo State, Ibadan",Ibadan,17000000.0,460,4,4,Semi-furnished,1,Oyo,36957.0
843,Furnished 3bdrm Duplex in Lekki Phase1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,380000000.0,300,3,4,Furnished,1,Lagos,1266667.0
844,4bdrm Duplex in Jahi Gilmore for sale,"Abuja (FCT), Jahi",Jahi,400000000.0,600,4,4,Semi-furnished,1,Abuja,666667.0
845,3bdrm Apartment in Chevron for sale,"Lekki, Chevron",Chevron,95000000.0,300,3,4,Unfurnished,1,Lagos,316667.0
846,2bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,90000000.0,500,2,2,Unfurnished,1,Lagos,180000.0
847,"4bdrm Duplex in Thomas Estate, Ajah for sale","Lagos State, Ajah",Ajah,145000000.0,400,4,6,Unfurnished,1,Lagos,362500.0
848,5bdrm Duplex in Ajah Lekki for sale,"Lagos State, Ajah",Ajah,250000000.0,450,5,6,Semi-furnished,1,Lagos,555556.0
849,Furnished 2bdrm Apartment in Agungi for sale,"Lekki, Agungi",Agungi,100000000.0,500,2,2,Furnished,1,Lagos,200000.0
850,Furnished 5bdrm Duplex in Ado / Ajah for sale,"Ajah, Ado / Ajah",Ado / Ajah,290000000.0,500,5,5,Furnished,1,Lagos,580000.0
851,"4bdrm Duplex in Mercy Land Estate, Ikeja for sale","Lagos State, Ikeja",Ikeja,160000000.0,250,4,5,Semi-furnished,1,Lagos,640000.0
852,5bdrm Duplex in Ogudu Gra for sale,"Lagos State, Ogudu",Ogudu,450000000.0,450,5,6,Semi-furnished,1,Lagos,1000000.0
853,3bdrm Block of Flats in Katampe (Main) for sale,"Katampe, Katampe (Main)",Katampe (Main),160000000.0,350,3,6,Unfurnished,1,Abuja,457143.0
854,"5bdrm Duplex in Magodo Phase 2, Ikeja for sale","Lagos State, Ikeja",Ikeja,480000000.0,450,5,6,Semi-furnished,1,Lagos,1066667.0
855,4bdrm Duplex in Durumi for sale,"Abuja (FCT), Durumi",Durumi,250000000.0,350,4,4,Unfurnished,1,Abuja,714286.0
856,2bdrm Block of Flats in Kaura for sale,"Abuja (FCT), Kaura",Kaura,100000000.0,300,2,2,Unfurnished,1,Abuja,333333.0
857,5bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,150000000.0,1000,5,5,Unfurnished,1,Abuja,150000.0
858,"5bdrm Duplex in Mabush District, Mabushi for sale","Abuja (FCT), Mabushi",Mabushi,350000000.0,800,5,6,Unfurnished,1,Abuja,437500.0
859,18bdrm Mansion in Port-Court for sale,"Rivers State, Port-Harcourt",Port-Harcourt,400000000.0,1500,18,19,Semi-furnished,1,Rivers,266667.0
